Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Layer group,Direct band gap (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],Energy [eV],Band gap (HSE06) [eV],Band gap (PBE) [eV]
SiCH2,0.062,-0.148,p3m1,3.781,-3.489,-21.859,4.871,3.781
Cs2C2O6H2,0,-1.537,p2_111,4.336,-3.289,-75.938,6.047,4.324
C2,0,-0.007,p6/mmm,0,-4.248,-18.454,0,0
K2C2O6H2,0,-1.542,p2_111,4.463,-3.358,-76.773,6.216,4.463
Na2C2O6H2,0,-1.519,p2_111,4.605,-3.386,-76.671,6.301,4.539
Rb2C2O6H2,0,-1.533,p2_111,4.386,-3.365,-76.046,6.136,4.385
Sc4C3,0.187,-0.322,p-3m1,0,-3.035,-48.549,,0
Cu2Cl2C2O2,0.119,-0.613,pm2_1n,2.769,-4.506,-44.514,4.689,2.508
C2H2,0.004,-0.134,p-3m1,3.46,-3,-25.623,4.421,3.46
Y4C3,0.187,-0.156,p-3m1,0,-3.07,-47.519,,0
Zr4C3,0.197,-0.554,p-3m1,0,-3.917,-61.146,,0
NiCl2C6N2H4,0.181,-0.081,pm2m,1.013,-4.717,-97.36,2.638,0.858
K2C2N2O2,0.002,-1.013,pm2_1n,4.759,-3.739,-55.937,5.93,4.61
K2S2C2N2,0.066,-0.415,pm2_1n,4.273,-3.354,-49.055,5.188,4.188
Na2C2N2O2,0.027,-0.962,pm2_1n,4.788,-4.048,-55.704,6.127,4.788
Na2S2C2N2,0.102,-0.328,pm2_1n,4.131,-3.571,-48.542,5.137,4.121
Ge2As2S6C2H6,0.076,-0.143,p11a,1.731,-4.19,-83.791,2.592,1.726
Pb2As2S6C2H6,0.044,-0.213,p11a,2.104,-4.456,-83.524,2.964,1.994
Mn2CO2H2,0.193,-0.679,p-3m1,0,-1.606,-50.305,,0
LiC12,0,-0.017,p6/mmm,0,-3.268,-112.745,,0
Sn2As2S6C2H6,0.052,-0.186,p11a,1.897,-4.258,-83.632,2.724,1.881
NaC12,0.012,0.006,p6/mmm,0,-3.228,-111.869,,0
Ti2CO2H2,0.162,-1.43,p-3m1,0,-1.912,-49.506,,0
V2CO2H2,0.133,-1.06,p-3m1,0,-1.793,-50.588,,0
Ti4C3O2H2,0.097,-1.211,p-3m1,0,-1.912,-84.639,,0
Zr4C3O2H2,0.191,-1.274,p-3m1,0,-2.074,-88.181,,0
Cs2S2C2O6H6,0.096,-1.065,p2_111,4.573,-3.204,-98.129,6.116,4.52
Ge2P2C2O6H6,0,-1.108,p11a,4.626,-3.443,-108.833,5.744,4.605
Ge2P2S6C2H6,0,-0.262,p11a,2.614,-3.92,-87.33,3.499,2.586
Sb2Ge2S6C2H6,0.093,-0.133,p11a,1.591,-4.208,-83.093,2.386,1.549
K2S2C2O6F6,0.05,-1.725,p2_111,6.04,-4.247,-100.356,7.674,5.904
Ti3C2O2H2,0.123,-1.295,p-6m2,0,-1.986,-67.059,,0
K2Se2S6C2H6,0.067,-0.266,p2_111,0.873,-3.961,-77.041,,0.871
Pb2P2C2O6H6,0,-1.15,p11a,3.834,-4.036,-108.076,5.139,3.807
Pb2P2S6C2H6,0,-0.338,p11a,2.246,-4.462,-87.181,3.079,2.11
Sn2P2C2O6H6,0,-1.145,p11a,4.041,-3.644,-108.58,5.049,4.034
Sn2P2S6C2H6,0,-0.308,p11a,2.534,-4.081,-87.231,3.301,2.463
Pb2Sb2S6C2H6,0.086,-0.202,p11a,1.973,-4.448,-82.823,2.889,1.973
Rb2Se2S6C2H6,0.064,-0.268,p2_111,0.968,-3.896,-76.458,1.809,0.968
Hf4Cl2C3,0.006,-1.228,p-3m1,0,-3.617,-72.303,,0
Sn2Sb2S6C2H6,0.088,-0.175,p11a,1.749,-4.255,-82.937,2.426,1.627
Ti4Cl2C3,0.001,-1.135,p-3m1,0,-4.392,-68.207,,0
Cu2Br2C4N2H4,0.187,-0.113,p-1,0.968,-4.083,-78.98,2.528,0.69
Y4Cl2C3,0.18,-0.859,p-3m1,0,-5.734,-57.727,,0
Zr4Cl2C3,0.004,-1.253,p-3m1,0,-4.055,-72.115,,0
Hf4C3F2,0.006,-1.684,p-3m1,0,-3.198,-76.012,,0
Sc4C3F2,0.157,-1.463,p-3m1,0,-5.06,-62.639,,0
Ti4C3F2,0,-1.635,p-3m1,0,-4.573,-72.307,,0
Ag2Cl2C6N2H8,0.089,-0.175,p-1,1.867,-4.427,-111.368,3.278,1.671
Y4C3F2,0.182,-1.363,p-3m1,0,-4.287,-61.866,,0
TaTiCl2C,0.057,-1.195,p3m1,0,-4.291,-35.273,,0
Zr4C3F2,0.005,-1.717,p-3m1,0,-3.516,-75.899,,0
