Formula,Layer group,Stoichiometry,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Band gap (PBE) [eV],Band gap (HSE06) [eV],Direct band gap (PBE) [eV],Direct band gap (HSE06) [eV],CBM wrt. vacuum (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],VBM wrt. vacuum (PBE) [eV],Energy [eV],"Magnetic anisotropy energy, xz [meV/unit cell]","Magnetic anisotropy energy, yz [meV/unit cell]",Vacuum level [eV]
C2,p6/mmm,A,0.0,-0.006999999999999895,0.0,0.0,0.0,0.0,0.0,-4.248,-4.248,-4.249,-18.453999999999997,1.3877787807814457e-17,0.0,2.336
Ta2Rh2Te8,p2_1/m11,ABC4,0.0,-0.444,0.0,0.07600000000000007,0.0009999999999998899,0.07600000000000007,0.0009999999999998899,-4.372,-4.41,-4.448,-64.89,1.3877787807814457e-17,0.0,2.343
V2Br6,p-31m,AB3,0.0,-0.926,1.0000000000000002,0.0,0.0009999999999998899,0.0,0.0009999999999998899,-5.203333333333333,-5.598,-5.551666666666667,-33.963,0.573,0.5770000000000001,2.77
I6V2,p-31m,AB3,0.0049999999999999975,-0.509,1.0000000000000002,0.0,0.0019999999999997797,0.0,0.0019999999999997797,-4.967,-5.265,-5.226666666666667,-29.992,5.787,5.789,3.148
Co2As2Se6,p-31m,ABC3,0.033,-0.21199999999999997,0.0,0.16599999999999993,0.004999999999999893,0.16599999999999993,0.008000000000000007,-4.729,-4.812,-4.895,-48.798,1.3877787807814457e-17,0.0,3.73
I6Fe2,p-31m,AB3,0.02,-0.07699999999999996,1.0000000000000002,0.0,0.004999999999999893,0.0,0.004999999999999893,-5.247,-4.923,-5.424,-27.567,4.634,4.636,3.366
Ta4Pd6Se10,pmmn,A2B3C5,0.044,-0.608,0.0,0.10400000000000009,0.008999999999999897,0.1080000000000001,0.01399999999999979,-4.789,-4.842,-4.894,-109.166,1.3877787807814457e-17,0.0,2.335
Nb4Ni6S10,pmmn,A2B3C5,0.039,-0.752,0.0,0.1499999999999999,0.008999999999999897,0.1499999999999999,0.008999999999999897,-4.986,-5.061,-5.136,-140.612,1.3877787807814457e-17,0.0,2.141
Ta4Pt2Te14,p2_1/m11,AB2C7,0.019000000000000003,-0.36500000000000005,0.0,0.05899999999999994,0.008999999999999897,0.05899999999999994,0.039000000000000146,-4.418,-4.447,-4.476,-104.149,1.3877787807814457e-17,0.0,2.388
Bi8Rh4,p-1,AB2,0.023,-0.22499999999999998,0.0,0.014000000000000012,0.009999999999999787,0.09099999999999997,0.1429999999999998,-3.74,-3.747,-3.754,-68.678,1.3877787807814457e-17,0.0,2.176
Zr2Br2Cl4,c211,ABC2,0.088,-1.586,1.0000000000000002,0.0,0.01100000000000012,0.0,0.1080000000000001,-4.800666666666666,-4.296,-4.9543333333333335,-37.804,-0.29600000000000004,-0.333,3.071
I6Ni2,p-31m,AB3,0.013999999999999999,-0.08399999999999996,1.0000000000000002,0.0,0.01100000000000012,0.0,0.07299999999999995,-5.557,-5.388,-5.715,-24.034,24.417,23.872,3.316
Pt2Nb4Te14,p2_1/m11,AB2C7,0.012999999999999998,-0.413,0.0,0.06299999999999994,0.0129999999999999,0.06600000000000006,0.07200000000000006,-4.501,-4.533,-4.564,-107.147,1.3877787807814457e-17,0.0,2.382
Pd2P2S6,p-31m,ABC3,0.122,-0.20399999999999996,0.0,0.014000000000000012,0.0129999999999999,0.014000000000000234,0.0129999999999999,-5.155,-5.162,-5.169,-44.874,1.3877787807814457e-17,0.0,3.79
Co2S3,pm2m,A2B3,0.065,-0.381,0.0,0.244,0.015000000000000124,0.28100000000000014,0.028000000000000025,-5.307,-5.429,-5.551,-30.595999999999997,1.3877787807814457e-17,0.0,3.129
I2Fe,p-6m2,AB2,0.11199999999999999,-0.008000000000000007,1.0000000000000002,0.1439999999999999,0.020000000000000018,0.1439999999999999,0.020000000000000018,-4.849,-4.921,-4.993,-12.021999999999998,5.255,5.254,3.801
Sb2Co2Se6,p-31m,ABC3,0.076,-0.21099999999999997,0.0,0.235,0.021999999999999797,0.23499999999999988,0.021999999999999797,-4.694,-4.811,-4.929,-48.273,1.3877787807814457e-17,0.0,3.799
Rh2Sb2Se6,p-31m,ABC3,0.061,-0.324,0.0,0.11699999999999999,0.021999999999999797,0.11699999999999999,0.021999999999999797,-4.892,-4.95,-5.009,-47.242,1.3877787807814457e-17,0.0,3.762
V2Cl6,p-31m,AB3,0.0,-1.271,1.0000000000000002,0.0,0.02300000000000013,0.0,0.02300000000000013,-5.373666666666667,-5.886,-5.449,-37.926,-0.704,-0.702,2.785
Nb2Te10Cr2,p2_1/m11,ABC5,0.0030000000000000027,-0.313,1.0000000000000002,0.07499999999999996,0.028999999999999915,0.09600000000000009,0.028999999999999915,-4.281,-4.318,-4.355,-75.895,2.128,-0.773,2.741
