Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group,Band gap (PBE) [eV],Band gap (G₀W₀) [eV],Band gap (HSE06) [eV] ▲,Direct band gap (PBE) [eV],Direct band gap (G₀W₀) [eV],Direct band gap (HSE06) [eV],CBM wrt. vacuum (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],VBM (vs. avg. vacuum) (PBE) [eV],VBM wrt. vacuum (PBE) [eV],Energy [eV],"Magnetic anisotropy energy, xz [meV/unit cell]","Magnetic anisotropy energy, yz [meV/unit cell]",Stoichiometry,Vacuum level [eV]
C2,0.0,-0.007,0,p6/mmm,0.0,,0.0,0.0,,0.0,-4.248,-4.248,,-4.249,-18.454,0.0,0.0,A,2.336
Ta2Rh2Te8,0.0,-0.444,0,p2_1/m11,0.076,,0.001,0.076,,0.001,-4.372,-4.41,,-4.448,-64.89,0.0,0.0,ABC4,2.343
V2Br6,0.0,-0.926,1,p-31m,0.0,,0.001,0.0,,0.001,,-5.598,,,-33.963,0.573,0.577,AB3,2.77
I6V2,0.005,-0.509,1,p-31m,0.0,,0.002,0.0,,0.002,,-5.265,,,-29.992,5.787,5.789,AB3,3.148
Co2As2Se6,0.033,-0.212,0,p-31m,0.166,,0.005,0.166,,0.008,-4.729,-4.812,,-4.895,-48.798,0.0,0.0,ABC3,3.73
I6Fe2,0.02,-0.077,1,p-31m,0.0,,0.005,0.0,,0.005,,-4.923,,,-27.567,4.634,4.636,AB3,3.366
Ta4Pd6Se10,0.044,-0.608,0,pmmn,0.104,,0.009,0.108,,0.014,-4.789,-4.842,,-4.894,-109.166,0.0,0.0,A2B3C5,2.335
Nb4Ni6S10,0.039,-0.752,0,pmmn,0.15,,0.009,0.15,,0.009,-4.986,-5.061,,-5.136,-140.612,0.0,0.0,A2B3C5,2.141
Ta4Pt2Te14,0.019,-0.365,0,p2_1/m11,0.059,,0.009,0.059,,0.039,-4.418,-4.447,,-4.476,-104.149,0.0,0.0,AB2C7,2.388
Bi8Rh4,0.023,-0.225,0,p-1,0.014,,0.01,0.091,,0.143,-3.74,-3.747,,-3.754,-68.678,0.0,0.0,AB2,2.176
Zr2Br2Cl4,0.088,-1.586,1,c211,0.0,,0.011,0.0,,0.108,,-4.296,,,-37.804,-0.296,-0.333,ABC2,3.071
I6Ni2,0.014,-0.084,1,p-31m,0.0,,0.011,0.0,,0.073,,-5.388,,,-24.034,24.417,23.872,AB3,3.316
Pt2Nb4Te14,0.013,-0.413,0,p2_1/m11,0.063,,0.013,0.066,,0.072,-4.501,-4.533,,-4.564,-107.147,0.0,0.0,AB2C7,2.382
Pd2P2S6,0.122,-0.204,0,p-31m,0.014,,0.013,0.014,,0.013,-5.155,-5.162,,-5.169,-44.874,0.0,0.0,ABC3,3.79
Co2S3,0.065,-0.381,0,pm2m,0.244,,0.015,0.281,,0.028,-5.307,-5.429,,-5.551,-30.596,0.0,0.0,A2B3,3.129
I2Fe,0.112,-0.008,1,p-6m2,0.144,,0.02,0.144,,0.02,-4.849,-4.921,,-4.993,-12.022,5.255,5.254,AB2,3.801
Sb2Co2Se6,0.076,-0.211,0,p-31m,0.235,,0.022,0.235,,0.022,-4.694,-4.811,,-4.929,-48.273,0.0,0.0,ABC3,3.799
Rh2Sb2Se6,0.061,-0.324,0,p-31m,0.117,,0.022,0.117,,0.022,-4.892,-4.95,,-5.009,-47.242,0.0,0.0,ABC3,3.762
V2Cl6,0.0,-1.271,1,p-31m,0.0,,0.023,0.0,,0.023,,-5.886,,,-37.926,-0.704,-0.702,AB3,2.785
Nb2Te10Cr2,0.003,-0.313,1,p2_1/m11,0.075,,0.029,0.096,,0.029,-4.281,-4.318,,-4.355,-75.895,2.128,-0.773,ABC5,2.741
Ir2Nb2Te8,0.008,-0.424,0,p2_1/m11,0.047,,0.033,0.047,,0.043,-4.443,-4.466,,-4.489,-69.926,0.0,0.0,ABC4,2.39
Ti4Se8,0.0,-1.131,0,p321,0.044,,0.036,0.067,,0.036,-5.352,-5.374,,-5.396,-68.197,0.0,0.0,AB2,3.85
Ta4Pd2S10,0.022,-0.892,0,p112/a,0.11,,0.037,0.119,,0.037,-5.424,-5.479,,-5.534,-101.953,0.0,0.0,AB2C5,2.141
W2Te4,0.0,-0.136,0,p2_1/m11,0.0,,0.044,0.0,,0.17,,-4.38,,,-36.604,0.0,0.0,AB2,4.751
Ru2Br6,0.017,-0.308,1,p-31m,0.0,,0.054,0.0,,0.128,,-5.477,,,-30.896,-3.271,-3.075,AB3,2.96
