Formula,Band gap (G₀W₀) (eV),Direct band gap (G₀W₀) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),Energy above hull (eV/atom),Heat of formation (eV/atom),Magnetic,Band gap (PBE) (eV),Band gap (HSE06) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),CBM wrt. vacuum (PBE) (eV),Fermi level wrt. vacuum (PBE) (eV),VBM wrt. vacuum (PBE) (eV),Energy (eV),"Magnetic anisotropy energy, xz (meV/unit cell)","Magnetic anisotropy energy, yz (meV/unit cell)",Vacuum level (eV)
Nb2P2S6,,,0.508,0.679,0.192,-0.519,0.0,0.508,0.679,0.508,0.679,-3.806,-4.059,-4.313,-61.038,1.3877787807814457e-17,0.0,4.292
Mo3CrO8,,,1.01,1.821,0.089,-1.907,0.0,0.626,1.351,1.01,1.821,-6.236,-6.549,-6.863,-106.895,1.3877787807814457e-17,0.0,3.868
Nb2Br12Na2,,,1.485,2.912,0.0,-1.092,0.0,1.485,2.912,1.485,2.912,-5.259,-6.001,-6.744,-59.749,1.3877787807814457e-17,0.0,1.832
Ca2BrS2Cl,,,2.629,3.83,0.089,-1.7680000000000002,0.0,2.607,3.81,2.6290000000000004,3.83,-3.707,-5.011,-6.314,-26.156,1.3877787807814457e-17,0.0,4.025
Pb2Te2,1.246,1.246,0.446,0.878,0.075,-0.346,0.0,0.44500000000000006,0.8780000000000001,0.44599999999999995,0.8780000000000003,-4.034,-4.256,-4.479,-15.311,1.3877787807814457e-17,0.0,3.709
Ga2Se2F2,,,2.871,3.814,0.065,-1.468,0.0,2.871,3.814,2.8710000000000004,3.814,-4.742,-6.178,-7.614,-24.755,1.3877787807814457e-17,0.0,1.659
Au2Br6,,,0.116,0.891,0.121,-0.017000000000000015,1.0000000000000002,0.08200000000000007,0.8599999999999999,0.1160000000000001,0.8910000000000002,-6.045,-6.086,-6.127,-15.902999999999995,-0.35400000000000004,-0.351,2.691
ZrPdBr6,,,0.645,2.005,0.0,-0.988,1.0000000000000002,0.628,1.974,0.645,2.005,-5.457,-5.771,-6.085,-28.635,0.087,0.085,2.854
Zr3PdBr6N2,,,1.657,3.179,0.1,-1.297,0.0,1.622,3.116,1.657,3.179,-4.521,-5.332,-6.143,-67.8,1.3877787807814457e-17,0.0,3.64
In4Te6,,,0.602,0.995,0.034,-0.285,0.0,0.602,0.9950000000000001,0.602,0.9950000000000001,-4.772,-5.073,-5.375,-33.128,1.3877787807814457e-17,0.0,2.804
Y4S6,,,2.652,3.699,0.069,-2.065,0.0,2.574,3.598,2.652,3.699,-4.552,-5.84,-7.127,-63.885,1.3877787807814457e-17,0.0,4.819
